rank,score
1,0.8377992
2,0.81619024
3,0.80344284
4,0.79412687
5,0.7869169
6,0.780712
7,0.7754923
8,0.7707649
9,0.76659
10,0.7628458
11,0.7594094
12,0.75619864
13,0.75322217
14,0.7505166
15,0.74797755
16,0.7455445
17,0.7431996
18,0.7410419
19,0.7389886
20,0.73700905
21,0.735017
22,0.733189
23,0.7314254
24,0.7297021
25,0.7280441
26,0.72639865
27,0.72486454
28,0.72338253
29,0.7219328
30,0.72050977
31,0.7171803
32,0.7157507
33,0.7144571
34,0.71318024
35,0.711958
36,0.7107496
37,0.70956963
38,0.7084513
39,0.7073592
40,0.70630753
41,0.7052705
42,0.7042689
43,0.7032664
44,0.7022975
45,0.7013414
46,0.70041543
47,0.69948673
48,0.698604
49,0.6977313
50,0.69688416
51,0.69603443
52,0.6952116
53,0.69441503
54,0.69359565
55,0.69280964
56,0.6920523
57,0.6913003
58,0.69054615
59,0.6898106
60,0.6890957
61,0.68837994
62,0.68768746
63,0.6869996
64,0.6863379
65,0.68567044
66,0.6850052
67,0.6843668
68,0.68373805
69,0.68309575
70,0.6824697
71,0.68186826
72,0.6812468
73,0.68066484
74,0.68007815
75,0.6794852
76,0.6789013
77,0.6783211
78,0.6777534
79,0.6772169
80,0.67667925
81,0.6761464
82,0.6756063
83,0.6750648
84,0.6745371
85,0.67402184
86,0.6735113
87,0.67301315
88,0.67250466
89,0.6720034
90,0.671519
91,0.6710359
92,0.6705564
93,0.67009306
94,0.66962445
95,0.6691687
96,0.66872096
97,0.668263
98,0.6678167
99,0.66737366
100,0.666937
