rank,score
1,0.7963798
2,0.77139086
3,0.7571594
4,0.7464386
5,0.7382747
6,0.7314841
7,0.725581
8,0.7206248
9,0.71612465
10,0.7120567
11,0.7084314
12,0.70511293
13,0.70212615
14,0.699222
15,0.69661194
16,0.69410616
17,0.6917541
18,0.68960255
19,0.6875336
20,0.6855354
21,0.6836312
22,0.68183017
23,0.68007064
24,0.6783846
25,0.6767323
26,0.6752057
27,0.6737123
28,0.6723055
29,0.6709414
30,0.6696158
31,0.66830397
32,0.66327137
33,0.6620202
34,0.660827
35,0.65965366
36,0.65849006
37,0.6573713
38,0.6562963
39,0.6552409
40,0.6542798
41,0.65328866
42,0.6523394
43,0.65138775
44,0.6505109
45,0.64964885
46,0.6487907
47,0.6479458
48,0.64711046
49,0.6463111
50,0.6455171
51,0.6447608
52,0.6440139
53,0.64326286
54,0.6425479
55,0.64183366
56,0.6411252
57,0.64045095
58,0.6397778
59,0.63911927
60,0.63849866
61,0.6378664
62,0.6372319
63,0.6366138
64,0.63600767
65,0.63541394
66,0.6348357
67,0.63426095
68,0.6337029
69,0.6331393
70,0.6325832
71,0.63203615
72,0.6315015
73,0.6309642
74,0.6304237
75,0.62990564
76,0.6294006
77,0.6288994
78,0.6284013
79,0.62791276
80,0.6274305
81,0.62695843
82,0.62648785
83,0.6260185
84,0.6255595
85,0.6251153
86,0.6246694
87,0.62422806
88,0.62379205
89,0.62335503
90,0.6229225
91,0.62250865
92,0.6220994
93,0.62167686
94,0.6212645
95,0.62086034
96,0.62046117
97,0.6200626
98,0.6196725
99,0.619288
100,0.61889833
