view_name,view_key,rank_layer,baseline_type,metric,semantic_n_edges,semantic_mean,random_mean_mean,delta_mean,lift,z_score,bootstrap_ci_low,bootstrap_ci_high,decision,view
main_business_detail,46bbc3c09f1c,rank_001_005,global_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0005825177158476,0.0019989117190926,4.431503737502775,1.716492333566154,0.0009919891657773,0.0043882280937395,rejected,main_business_detail
main_business_detail,46bbc3c09f1c,rank_006_010,global_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0005825177158476,0.0013806054976521,3.370066111454338,1.1855444789102545,0.0001722276720101,0.003557335678488,rejected,main_business_detail
main_business_detail,46bbc3c09f1c,rank_011_020,global_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0006290767486643,0.0019420559838909,4.087152701183886,3.006048101152013,0.0012631204910576,0.0037804727850016,supported,main_business_detail
theme_text,07a2d5b269d2,rank_001_005,global_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0005825177158476,0.0017267503917901,3.9642882007075655,1.4827837473661007,0.0007058628711092,0.0039507166249677,rejected,theme_text
theme_text,07a2d5b269d2,rank_006_010,global_random,corr_resid_full_neutral,25440,0.0019274820806458,0.0005825177158476,0.0013449643647982,3.308881478121659,1.1549389595573805,-6.064243607397652e-05,0.0034577249200083,rejected,theme_text
theme_text,07a2d5b269d2,rank_011_020,global_random,corr_resid_full_neutral,50863,0.0013045817613601,0.0006290767486643,0.0006755050126958,2.0738038150832123,1.0455932154255971,0.000105514153256,0.0026402984163723,rejected,theme_text
chain_text,58563ca7113f,rank_001_005,global_random,corr_resid_full_neutral,25575,0.0022736149840056,0.0005825177158476,0.001691097268158,3.903082982974065,1.452167931371025,0.000218052180935,0.0040728983585722,rejected,chain_text
chain_text,58563ca7113f,rank_006_010,global_random,corr_resid_full_neutral,25549,0.0022975327447056,0.0005825177158476,0.001715015028858,3.944142267609186,1.4727064336397666,0.0003983056965807,0.0040919328108429,rejected,chain_text
chain_text,58563ca7113f,rank_011_020,global_random,corr_resid_full_neutral,51008,0.0017891755560413,0.0006290767486643,0.001160098807377,2.844129209735066,1.7956808897328518,0.0005546597400098,0.0031592487066518,rejected,chain_text
full_text,e7a0080f4bc8,rank_001_005,global_random,corr_resid_full_neutral,25443,0.0018730906303972,0.0005825177158476,0.0012905729145496,3.215508437664828,1.1082322908878166,0.0004811793281987,0.0036660189740359,rejected,full_text
full_text,e7a0080f4bc8,rank_006_010,global_random,corr_resid_full_neutral,25387,0.0023890559095889,0.0005825177158476,0.0018065381937413,4.101258802254119,1.55129860425205,0.0001244502447661,0.0046141677070409,rejected,full_text
full_text,e7a0080f4bc8,rank_011_020,global_random,corr_resid_full_neutral,50764,0.0011039985110983,0.0006290767486643,0.000474921762434,1.7549504308375925,0.7351166361848394,-0.0002169631399738,0.0025626807939261,rejected,full_text
