rank,score
1,0.77489614
2,0.74948883
3,0.7349694
4,0.72493625
5,0.71699756
6,0.7106559
7,0.7052426
8,0.70041
9,0.6962067
10,0.6923689
11,0.6889174
12,0.68573
13,0.6828425
14,0.6801674
15,0.6775784
16,0.6751392
17,0.67291886
18,0.67080903
19,0.6688084
20,0.6668499
21,0.66500944
22,0.6632421
23,0.6615646
24,0.6599809
25,0.65844166
26,0.6569366
27,0.6555095
28,0.6540839
29,0.65276927
30,0.64982396
31,0.6485213
32,0.6472187
33,0.64596707
34,0.64479315
35,0.6436219
36,0.6424871
37,0.6413357
38,0.64029276
39,0.63929063
40,0.63828766
41,0.63731396
42,0.6363478
43,0.6354432
44,0.6345247
45,0.63363993
46,0.6327564
47,0.63188744
48,0.6310694
49,0.6302282
50,0.6294323
51,0.6286319
52,0.62785804
53,0.62711495
54,0.62638223
55,0.62565017
56,0.6249378
57,0.62422466
58,0.6235355
59,0.62285143
60,0.622185
61,0.62154216
62,0.6208832
63,0.6202558
64,0.61964744
65,0.6190375
66,0.6184261
67,0.6178291
68,0.6172352
69,0.6166567
70,0.61608106
71,0.61551833
72,0.61495954
73,0.61440444
74,0.6138643
75,0.6133288
76,0.61281
77,0.6122929
78,0.6117796
79,0.6112642
80,0.61076325
81,0.6102568
82,0.6097566
83,0.60927206
84,0.6087626
85,0.60828733
86,0.6078229
87,0.6073486
88,0.60689074
89,0.6064412
90,0.60599476
91,0.6055454
92,0.60510105
93,0.60465664
94,0.60423076
95,0.6038005
96,0.60337496
97,0.60296005
98,0.6025452
99,0.60213387
100,0.6017237
